st_num,province,latitude,longitude,elevation
17186,Manisa,38.6153,27.4049,71.0
17227,Aydın,37.8167,27.8873,32.0
17237,Denizli,37.762,29.0921,425.0
17257,Denizli,37.785,29.7011,848.0
17296,Muğla,36.6266,29.1238,3.0
17298,Muğla,36.8395,28.2452,16.0
17824,Denizli,38.1515,29.0587,825.0
17860,Aydın,37.9135,28.3437,84.0
17862,Afyonkarahisar,38.0597,30.1531,864.0
17884,Muğla,37.3027,27.7804,57.0
17886,Muğla,37.3395,28.1369,365.0
17924,Muğla,36.97,28.6869,24.0
18032,İzmir,38.6401,26.5081,132.0
18298,Denizli,37.8156,29.6178,885.0
18822,İzmir,38.2878,27.5161,709.0
